#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTDESC74047;The peddlers are loading their wares and the merchants are taking down their stalls. The minstrels, strolling players and the other entertainers are preparing to leave. The Erulaitalë festival is over for this year.;Les colporteurs remballent leurs marchandises et les marchands démontent leurs étaux. Les jongleurs, les comédiens et autres artistes se préparent à partir. Le Festival d'été est terminé pour cette année.;Die Hausierer laden ihre Waren auf und die Händler bauen ihre Stände ab. Die Jongleure, fahrenden Schauspieler und das andere Unterhaltungsvolk bereitet sich auf die Abreise vor. Das diesjährige Sommerfest ist zu Ende.;;Los vendedores ambulantes están cargando sus enseres y los mercaderes desmontando sus puestos. Los juglares, actores y demás artistas ya se preparan para irse. Se acabó la feria de verano este año.;;;;;;;;;x
EVTOPTA74047;It was great fun while it lasted;Tout s'est très bien passé.;Es hat großen Spaß gemacht;;Fue divertido mientras duró.;;;;;;;;;x
EVTOPTA74050;This should make the commoners happy...;Cela devrait beaucoup plaire aux paysans...;Das sollte die Bauern glücklich machen ...;;Con esto haríamos felices a los campesinos...;;;;;;;;;x
EVTDESC70033;I have sent forth messengers around the realm to spread the word that a grand tournament be held;J'ai envoyé des messagers aux quatre coins du Royaume pour annoncer la tenue d'un grand tournoi.;Ich habe durch Boten im ganzen Reich die Kunde verbreiten lassen, dass ein großes Turnier abgehalten werden wird;;He enviado mensajeros por todo el reino para que corran la voz de que se celebrará un gran torneo.;;;;;;;;;x
EVTOPTA70033;The tournament begins soon;Le tournoi va bientôt commencer.;Das Turnier fängt schon bald an;;El torneo empezará pronto.;;;;;;;;;x
EVTDESC6223;I had been hearing a voice for some time now but I couldn't quite place it. Then I felt its presence fill me and it felt malevolent.;J'entends une voix depuis quelque temps, mais impossible de la resituer. Puis, sa présence s'est faite omniprésente et elle n'avait rien de divin.;Ich hatte schon seit einiger Zeit eine Stimme gehört, konnte sie aber nicht zuordnen. Dann fühlte ich ihre Gegenwart in meinem Körper, und das fühlte sich gar nicht göttlich an.;;Hace un tiempo que oigo una voz, pero no sabía de dónde venía exactamente. Entonces, sentí su presencia dentro de mí, y no era divina.;;;;;;;;;x
EVTOPTA6223;Out, Black Demon!;Satanique;Morrrrrdddddd;;Redrum;;;;;;;;;x
EVTDESC6224;I wasn't sure what to do, when the Black Demon whispered to me. I should talk to one of the denizens of my dungeon.  As I listened to the prisoner's appeal for mercy the voice whispered to me once more that they weren't very sincere. Perchance a little time on the rack would help him.;Je ne savais pas que faire lorsque [Root.Religion.GetRandomEvilGodName] en personne a chuchoté à mon oreille. Il me fallait m'entretenir avec un des occupants de mon donjon. Alors que j'écoutais les déchirants suppliques du captif demandant pitié, le Diable a, une nouvelle fois, chuchoté à mon oreille qu'il n'était pas sincère. Je devrais peut-être le soumettre à la torture.;Als Satan mir zuflüsterte, wusste ich nicht, was ich tun sollte. Ich sprach also mit einem Insassen meines Kerkers. Als ich zuhörte, wie der Gefangene um Gnade flehte, flüsterte mir [Root.Religion.GetRandomEvilGodName] zu, dass er nicht besonders aufrichtig sei. Vielleicht wäre eine Weile auf der Streckbank für ihn eine Hilfe?;;No sabía muy bien qué hacer cuando el mismo Satanás me estaba susurrando. Debería hablar con algún habitante de mi mazmorra.  Mientras el prisionero pedía piedad, Satanás me habló una vez más y me dijo que no era sincero. Quizás le venga bien pasar un rato en el potro de tortura.;;;;;;;;;x
EVTOPTA6224;I heard him scream and the voice laughed with delight.;Je l'ai entendu crier et [Root.Religion.GetRandomEvilGodName] a ri avec délectation.;Während ich ihn schreien hörte, lachte [Root.Religion.GetRandomEvilGodName] vergnüglich.;;Lo escuché gritar y Satanás reía complacido.;;;;;;;;;x
EVTDESC6225;He came to me while I slept, it seemed almost as if it was a dream. He had three heads, the body of a man, the legs of a cock and the tail of a serpent. He taught me something about myself that I had always known but denied.;Il m'est apparu alors que je dormais, comme dans un rêve. Il avait trois têtes, un corps d'homme, des pattes de coq et une queue de serpent. Il m'a appris quelque chose me concernant, quelque chose que je me refusais à croire.;Er suchte mich im Schlaf auf, und es erschien mir fast wie ein Traum. Er hatte drei Köpfe, den Torso eines Mannes, die Beine eines Hahns und einen Schlangenschwanz. Er lehrte mich etwas über mich selbst, das ich schon wusste, aber stets geleugnet hatte.;;Vino hacia mí mientras dormía, casi parecía un sueño. Tenía tres cabezas, el cuerpo de un hombre, las patas de un gallo y la cola de una serpiente. Me hizo ver una parte de mí que ya conocía y que siempre había negado.;;;;;;;;;x
EVTOPTA6225;It is wrong, but feels right.;C'est faux, même si cela semble exact.;Es ist falsch, aber es fühlt sich richtig an.;;Está mal, pero me siento bien.;;;;;;;;;x
EVTDESC6226;As I sat and looked at the fish course, the fish spoke to me and reminded me that my neighbor's titles were rich and should be mine.;Alors que j'étais à table et que j'observais mon plat de poisson, celui-ci m'a fait remarquer que les titres de mes voisins étaient prestigieux et me revenaient.;Als ich so dasaß und mir das Fischgericht ansah, sprach der Fisch zu mir und erinnerte mich daran, dass die Titel meines Nachbarn reich waren und mein sein sollten.;;Estando sentado en la mesa miré el pescado y este me habló, me recordó lo apetitosos que eran los títulos del vecino y que debían ser míos.;;;;;;;;;x
EVTOPTA6226;A messenger from my Lord;Un messager du Seigneur Léviathan;Ein Bote meines Fürsten, dem Leviathan;;Un mensaje de mi señor el Leviatán.;;;;;;;;;x
EVTDESC6227;The voice asked me why I was denying myself sensual pleasures. I told him it was wrong and he reminded me that [Root.Religion.GetRandomEvilGodName] decides what is wrong.;Asmodée m'a demandé pourquoi je me privais des plaisirs charnels. Je lui ai dit qu'il s'agissait là de péchés, ce à quoi il m'a répondu que le Seigneur, lui-même, avait ordonné qu'on se multiplie.;Asmodeus fragte mich, weshalb ich mir sinnliche Genüsse verweigern würde. Ich sagte ihm, dass es sündig sei. Daraufhin erinnerte er mich daran, dass Gott selbst den Menschen befohlen hatte, fruchtbar zu sein und sich zu mehren.;;Asmodeo me preguntó por qué me privaba de placeres carnales. Le dije que era pecado y me recordó que Dios mismo ordenó que debemos reproducirnos.;;;;;;;;;x
EVTOPTA6227;Well, if it is the will of [This.Religion.GetRandomEvilGodName];C'était la parole du Seigneur ?;Das war das Wort Gottes?;;¿Era la palabra de Dios?;;;;;;;;;x
EVTDESC6228;I told the voice that lust is a betrayal of our people, and he whispered quietly that I was made by [This.Religion.GetHighGodName] to breed.;J'ai dit à Asmodée que le désir charnel constituait un péché envers Dieu et il m'a chuchoté calmement que j'étais à l'image de Dieu. Si j'ai ces envies, c'est que Dieu les a, lui aussi.;Ich sagte Asmodeus, dass Fleischeslust eine Sünde vor Gott sei. Darauf flüsterte er ruhig, dass ich ein Ebenbild Gottes sein. Wenn ich also diese Dränge verspürte, so sei es nur deshalb, weil es Gott nicht anders ginge.;;Le dije a Asmodeo que la lujuria es un pecado contra Dios y me dijo en voz baja que me crearon a imagen y semejanza de Dios. Si tengo esa tentación es porque Dios también la tiene.;;;;;;;;;x
EVTOPTA6228;[This.Religion.GetHighGodName] must want me to do this.;Dieu veut sûrement que je le fasse.;Also muss es Gottes Willen sein!;;Seguro que Dios quiere que lo haga.;;;;;;;;;x
EVTDESC6229;I was patient and listened to the lordling as he explained to me why Arda was shaped like a banana. I knew it was the Black Demon's voice who said why do you listen to this fool, your eyes prove the world is flat.;J'ai patiemment écouté le chevalier m'expliquer pourquoi le monde avait la forme d'une banane. Je savais que c'était la voix de Satan qui me demandait pourquoi j'écoutais cet imbécile puisque vos yeux prouvent que le monde est plat.;Ich hörte dem Ritter geduldig zu, als er mir erklärte, weshalb die Erde krumm wie eine Banane sei. Ich wusste, dass es Satans Stimme war, die mich fragte, warum ich diesem Narren überhaupt zuhörte. Ich wüsste doch, dass die Erde eine Scheibe sei.;;Fui paciente y escuché al caballero argumentar por qué el mundo tenía forma de plátano. Sabía que era Satanás quien preguntaba que por qué escuchaba a aquel imbécil, que mis ojos sabían que la Tierra es plana.;;;;;;;;;x
EVTOPTA6229;He's right you know;Il a raison, vous savez.;Ihr wisst, dass er Recht hat;;Y tiene razón, ¿sabes?;;;;;;;;;x
EVTDESC6230;The servant dropped the meat and the dogs immediately drove upon it. The waste angered me but I held my temper, then the voice whispered to me as it has so often before: 'Why do you accept this foolishness?';Le serviteur a laissé tomber la viande et les chiens l'ont dévorée. La situation me mettait en colère, mais j'ai gardé mon sang-froid. Puis, la voix m'a demandé pourquoi j'acceptais une telle bêtise ?;Kaum hatte der Diener das Fleisch auf den Boden fallen gelassen, stürzten sich schon die Hunde darauf. Diese Verwendung ärgerte mich, aber ich hielt mein Temperament im Zaum. Dann flüsterte mir die Stimme wieder sanft ins Ohr, wie sie es schon so oft getan hatte. Sie wollte wissen, warum ich diese Torheit akzeptieren würde.;;El sirviente tiró la carne y los perros se lanzaron a ella de inmediato. Tal desperdicio me enfureció, pero me contuve. Entonces, la voz me susurró como lo ha venido haciendo hasta ahora: '¿Por qué aceptas semejante ineptitud?'.;;;;;;;;;x
EVTOPTA6230;Yes I will not be weak.;Oui, je ne serai plus faible.;Ja, ich werde nicht schwach sein.;;No voy a ser débil.;;;;;;;;;x
EVTDESC6231;At the lecture the loremaster reminded the audience of my humbleness. Then a voice whispered in my ear, A hypocrate is he, who preaches humility yet calls himself a master of lore.;Au cours de son sermon, le prêtre a rappelé à l'assemblée mon humilité. Puis, une voix a chuchoté à mon oreille, je sais qu'il s'agit de l'étoile du matin, et il m'a dit que le frère me ridiculisait. Ce soi-disant prêtre était riche et mangeait à satiété pendant que les pauvres mouraient de faim.;Bei der Predigt erinnerte der Pfarrer die Kirchengemeinde an meine Bescheidenheit. Dann flüsterte mir eine wohlbekannte Stimme ins Ohr, dass der Pfarrer einen Narren aus mir machte. Der sogenannte Priester war ein reicher Mann, der gut und reichlich speiste, während draußen die Armen verhungerten.;;Durante el sermón, el párroco habló a los congregados de mi humildad. Entonces, una voz me susurró al oído. Sé que es el lucero del alba. Me dijo que el párroco me estaba dejando como a un idiota. El venerado sacerdote era un acomodado que comía caliente mientras los pobres pasaban hambre.;;;;;;;;;x
EVTOPTA6231;My eyes are open;Mes yeux sont ouverts.;Meine Augen sind geöffnet;;He abierto los ojos.;;;;;;;;;x
EVTDESC6232;I sat in contemplation of my life and wondered why it was that I wasn't getting my due. Then a voice whispered to me, I know it to be the Rogmor, who told me it was my right to have a throne higher than the clouds and over the earth.;J'ai réfléchi à ma vie et j'ai voulu savoir pourquoi je n'avais pas ce qui me revenait. Puis, une voix a chuchoté quelque chose à mon oreille. Je savais que c'était la voix de Lucifer et elle m'a dit qu'il était normal que j'ai un trône plus haut que les nuages et au-dessus de la terre.;Ich dachte über mein Leben nach und wunderte mich, warum ich nicht das mir Zustehende erreichte. Dann flüsterte mir Luzifer wieder ins Ohr. Er behauptete, dass mir ein Thron zustünde, der selbst die Wolken überragte.;;Me senté a reflexionar sobre mi vida y me pregunté por qué no tenía lo que me merecía. Entonces, una voz me susurró. Yo sabía que era Lucifer. Me dijo que tenía derecho a sentarme en un trono más alto que las nubes y gobernar el mundo entero.;;;;;;;;;x
EVTOPTA6232;He is right.;Elle a raison.;Er hat Recht.;;Tiene razón.;;;;;;;;;x
EVTDESC6233;I always tried to avoid eating too much, as I felt it a waste. The Rogmor growled softly in my ear, that I should enjoy all the fruits of [This.Religion.GetHighGodName]'s creation.;J'ai toujours essayé de limiter mon appétit, car pour moi, c'est un péché. Le Seigneur des Mouches a chuchoté à mon oreille qu'il me fallait profiter de tous les fruits créés par Dieu.;Zu viel zu essen, das versuchte ich stets zu vermeiden, denn es fühlte sich sündig an. Der Herr der Fliegen flüsterte mir sanft ins Ohr, ich solle alle Früchte von Gottes Schöpfung genießen.;;Nunca he comido mucho, porque sabía que era pecado. Pero el Señor de las moscas me habló al oído y me dijo que debía disfrutar de todos los frutos de la creación de Dios.;;;;;;;;;x
EVTOPTA6233;He tells it true.;Il dit vrai.;Er sagt die Wahrheit;;Dice la verdad.;;;;;;;;;x
EVTDESC6234;I looked upon  the table and my mouth salivated at the rich odours. I felt the urge to fill my plate as much as I could and the Rogmor whispered why not?;Je salivais à l'odeur des délicieux plats qui se trouvaient sur la table. J'ai eu très envie de remplir mon assiette et Belzébuth m'a conforté dans ce sens.;Ich blickte auf den Tisch, und die intensiven Gerüche ließen mir das Wasser im Mund zusammenlaufen. Ich fühlte den Drang, meinen Teller komplett zu füllen. 'Warum auch nicht?', flüsterte der Beelzebub.;;Miré a la mesa y empecé a salivar ante los deliciosos olores. Sentí la necesidad de llenarme el plato hasta los bordes y Belcebú susurró: '¿Y por qué no?'.;;;;;;;;;x
EVTOPTA6234;Indeed;En effet !;In der Tat;;Pues claro.;;;;;;;;;x
EVTDESC6235;As I watched the Almoner hand out coins I wondered is it really so good that those who are clearly going to squander the money should receive it. The Black Demon came to me later and pointed out the logic in my thoughts, we should try to save first those who can be saved.;En voyant l'aumônier distribuer des pièces, je me suis demandé s'il était bon que ceux qui dilapident l'argent le reçoivent. Mammon m'a ensuite rendu visite et souligné la légitimité de ce que je pensais. Il vaudrait mieux commencer par sauver ceux qui peuvent être sauvés.;Als ich den Almosenier bei der Ausgabe von Münzen beobachte, fragte ich mich, warum es denn eine so gute Sache sei, dass jene Geld erhalten, die es eh verschwenden werden. Mammon erschien mir später und zeigte die Logik meiner Gedanken auf. Wir sollten erst jene zu retten versuchen, die noch gerettet werden können.;;Mientras vi al limosnero repartiendo monedas pensé si realmente merecía la pena darle dinero a aquellos que evidentemente iban a despilfarrarlo. Entonces, Mammon se dirigió a mí y me hizo ver que mis pensamientos eran lógicos, antes debemos salvar a los que pueden ser salvados.;;;;;;;;;x
